{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:07.988', 'rssi': '-63', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:17.346', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:13.156', 'rssi': '-66', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:22.692', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:22.632', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:22.622', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:26.923', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:23.243', 'rssi': '-70', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:22.913', 'rssi': '-73', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:38.867', 'rssi': '-57', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 01:59:49.40', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:00.98', 'rssi': '-59', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 01:59:12.128', 'status': 'offline', 'rssi': '-56', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:16.713', 'rssi': '-71', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:16.693', 'rssi': '-63', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:22.220', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:22.100', 'rssi': '-69', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:21.800', 'rssi': '-75', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:21.730', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:21.560', 'rssi': '-80', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:27.912', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:26.972', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:26.652', 'rssi': '-77', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:26.482', 'rssi': '-78', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:32.769', 'rssi': '-80', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:32.769', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:31.899', 'rssi': '-75', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:37.886', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:36.556', 'rssi': '-75', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:36.26', 'rssi': '-80', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:33.326', 'rssi': '-67', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:42.989', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:41.469', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:41.269', 'rssi': '-70', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:00:40.289', 'rssi': '-53', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:47.2', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:51.327', 'rssi': '-64', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:00:50.897', 'rssi': '-60', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:01:05.31', 'rssi': '-57', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:03.491', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:12.735', 'rssi': '-71', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:12.65', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:17.455', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:15.645', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:22.809', 'rssi': '-60', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:19.149', 'rssi': '-67', 'radio': 'wifi'}
