floor,building,campus,associatedCount,date
Floor A,Tower A,Campus A,155,01/10/2021
Floor A,Tower A,Campus A,1,02/10/2021
Floor A,Tower A,Campus A,197,04/10/2021
Floor A,Tower A,Campus A,339,05/10/2021
Floor A,Tower A,Campus A,373,06/10/2021
Floor A,Tower A,Campus A,335,07/10/2021
Floor A,Tower A,Campus A,143,08/10/2021
Floor A,Tower A,Campus A,4,09/10/2021
Floor A,Tower A,Campus A,1,10/10/2021
Floor A,Tower A,Campus A,247,11/10/2021
Floor A,Tower A,Campus A,368,12/10/2021
Floor A,Tower A,Campus A,347,13/10/2021
Floor A,Tower A,Campus A,352,14/10/2021
Floor A,Tower A,Campus A,166,15/10/2021
Floor A,Tower A,Campus A,1,16/10/2021
Floor A,Tower A,Campus A,225,18/10/2021
Floor A,Tower A,Campus A,357,19/10/2021
Floor A,Tower A,Campus A,466,20/10/2021
Floor A,Tower A,Campus A,336,21/10/2021
Floor A,Tower A,Campus A,187,22/10/2021
Floor A,Tower A,Campus A,3,23/10/2021
Floor A,Tower A,Campus A,269,25/10/2021
Floor A,Tower A,Campus A,371,26/10/2021
Floor A,Tower A,Campus A,458,27/10/2021
Floor A,Tower A,Campus A,378,28/10/2021
Floor A,Tower A,Campus A,141,29/10/2021
Floor A,Tower A,Campus A,1,31/10/2021
Floor A,Tower A,Campus A,2,01/11/2021
Floor A,Tower A,Campus A,170,02/11/2021
Floor A,Tower A,Campus A,335,03/11/2021
Floor A,Tower A,Campus A,406,04/11/2021
Floor A,Tower A,Campus A,209,05/11/2021
Floor A,Tower A,Campus A,2,06/11/2021
Floor A,Tower A,Campus A,311,08/11/2021
Floor A,Tower A,Campus A,461,09/11/2021
Floor A,Tower A,Campus A,443,10/11/2021
Floor A,Tower A,Campus A,378,11/11/2021
Floor A,Tower A,Campus A,165,12/11/2021
Floor A,Tower A,Campus A,2,13/11/2021
Floor A,Tower A,Campus A,1,14/11/2021
Floor A,Tower A,Campus A,211,15/11/2021
Floor A,Tower A,Campus A,368,16/11/2021
Floor A,Tower A,Campus A,415,17/11/2021
Floor A,Tower A,Campus A,381,18/11/2021
Floor A,Tower A,Campus A,203,19/11/2021
Floor A,Tower A,Campus A,2,20/11/2021
Floor A,Tower A,Campus A,2,21/11/2021
Floor A,Tower A,Campus A,214,22/11/2021
Floor A,Tower A,Campus A,375,23/11/2021
Floor A,Tower A,Campus A,393,24/11/2021
Floor A,Tower A,Campus A,396,25/11/2021
Floor A,Tower A,Campus A,150,26/11/2021
Floor A,Tower A,Campus A,6,27/11/2021
Floor A,Tower A,Campus A,1,28/11/2021
Floor A,Tower A,Campus A,232,29/11/2021
Floor A,Tower A,Campus A,361,30/11/2021
Floor A,Tower A,Campus A,364,01/12/2021
Floor A,Tower A,Campus A,376,02/12/2021
Floor A,Tower A,Campus A,182,03/12/2021
Floor A,Tower A,Campus A,2,04/12/2021
Floor A,Tower A,Campus A,1,05/12/2021
Floor A,Tower A,Campus A,69,06/12/2021
Floor A,Tower A,Campus A,15,07/12/2021
Floor A,Tower A,Campus A,7,08/12/2021
Floor A,Tower A,Campus A,253,09/12/2021
Floor A,Tower A,Campus A,172,10/12/2021
Floor A,Tower A,Campus A,3,11/12/2021
Floor A,Tower A,Campus A,2,12/12/2021
Floor A,Tower A,Campus A,303,13/12/2021
Floor A,Tower A,Campus A,405,14/12/2021
Floor A,Tower A,Campus A,461,15/12/2021
Floor A,Tower A,Campus A,338,16/12/2021
Floor A,Tower A,Campus A,205,17/12/2021
Floor A,Tower A,Campus A,4,18/12/2021
Floor A,Tower A,Campus A,214,20/12/2021
Floor A,Tower A,Campus A,203,21/12/2021
Floor A,Tower A,Campus A,154,22/12/2021
Floor A,Tower A,Campus A,98,23/12/2021
Floor A,Tower A,Campus A,8,24/12/2021
Floor A,Tower A,Campus A,1,26/12/2021
Floor A,Tower A,Campus A,17,27/12/2021
Floor A,Tower A,Campus A,25,28/12/2021
Floor A,Tower A,Campus A,13,29/12/2021
Floor A,Tower A,Campus A,14,30/12/2021
Floor A,Tower A,Campus A,10,31/12/2021
Floor A,Tower A,Campus A,18,03/01/2022
Floor A,Tower A,Campus A,30,04/01/2022
Floor A,Tower A,Campus A,31,05/01/2022
Floor A,Tower A,Campus A,1,06/01/2022
Floor A,Tower A,Campus A,22,07/01/2022
Floor A,Tower A,Campus A,1,08/01/2022
Floor A,Tower A,Campus A,130,10/01/2022
Floor A,Tower A,Campus A,127,11/01/2022
Floor A,Tower A,Campus A,144,12/01/2022
Floor A,Tower A,Campus A,115,13/01/2022
Floor A,Tower A,Campus A,84,14/01/2022
Floor A,Tower A,Campus A,1,15/01/2022
Floor A,Tower A,Campus A,2,16/01/2022
Floor A,Tower A,Campus A,136,17/01/2022
Floor A,Tower A,Campus A,155,18/01/2022
Floor A,Tower A,Campus A,183,19/01/2022
Floor A,Tower A,Campus A,136,20/01/2022
Floor A,Tower A,Campus A,85,21/01/2022
Floor A,Tower A,Campus A,1,22/01/2022
Floor A,Tower A,Campus A,1,23/01/2022
Floor A,Tower A,Campus A,134,24/01/2022
Floor A,Tower A,Campus A,165,25/01/2022
Floor A,Tower A,Campus A,198,26/01/2022
Floor A,Tower A,Campus A,223,27/01/2022
Floor A,Tower A,Campus A,139,28/01/2022
Floor A,Tower A,Campus A,1,29/01/2022
Floor A,Tower A,Campus A,1,30/01/2022
Floor A,Tower A,Campus A,157,31/01/2022
Floor A,Tower A,Campus A,197,01/02/2022
Floor A,Tower A,Campus A,208,02/02/2022
Floor A,Tower A,Campus A,182,03/02/2022
Floor A,Tower A,Campus A,103,04/02/2022
Floor A,Tower A,Campus A,3,05/02/2022
Floor A,Tower A,Campus A,1,06/02/2022
Floor A,Tower A,Campus A,166,07/02/2022
Floor A,Tower A,Campus A,240,08/02/2022
Floor A,Tower A,Campus A,253,09/02/2022
Floor A,Tower A,Campus A,245,10/02/2022
Floor A,Tower A,Campus A,149,11/02/2022
Floor A,Tower A,Campus A,9,12/02/2022
Floor A,Tower A,Campus A,230,14/02/2022
Floor A,Tower A,Campus A,272,15/02/2022
Floor A,Tower A,Campus A,302,16/02/2022
Floor A,Tower A,Campus A,247,17/02/2022
Floor A,Tower A,Campus A,142,18/02/2022
Floor A,Tower A,Campus A,3,19/02/2022
Floor A,Tower A,Campus A,2,20/02/2022
Floor A,Tower A,Campus A,166,21/02/2022
Floor A,Tower A,Campus A,261,22/02/2022
Floor A,Tower A,Campus A,274,23/02/2022
Floor A,Tower A,Campus A,249,24/02/2022
Floor A,Tower A,Campus A,134,25/02/2022
Floor A,Tower A,Campus A,2,26/02/2022
Floor A,Tower A,Campus A,1,27/02/2022
Floor A,Tower A,Campus A,209,28/02/2022
Floor A,Tower A,Campus A,292,01/03/2022
Floor A,Tower A,Campus A,282,02/03/2022
Floor A,Tower A,Campus A,281,03/03/2022
Floor A,Tower A,Campus A,119,04/03/2022
Floor A,Tower A,Campus A,3,05/03/2022
Floor A,Tower A,Campus A,200,07/03/2022
Floor A,Tower A,Campus A,318,08/03/2022
Floor A,Tower A,Campus A,388,09/03/2022
Floor A,Tower A,Campus A,379,10/03/2022
Floor A,Tower A,Campus A,157,11/03/2022
Floor A,Tower A,Campus A,1,12/03/2022
Floor A,Tower A,Campus A,243,14/03/2022
Floor A,Tower A,Campus A,348,15/03/2022
Floor A,Tower A,Campus A,370,16/03/2022
